Mammoth,White,Black,Location,Year,Event,Result,Moves,Opening,Nickname,Link
no,Gioachino Greco,NN,"London, England",1623,London 1623,1-0,8,Owen Defense,Weak h5-e8 Diagonal,https://www.chessgames.com/perl/chessgame?gid=1243022
no,Kermur Sire De Legal,Saint Brie,"Paris, France",1750,Paris 1750,1-0,7,Bishop's Opening,Original Legal's Mate,https://www.chessgames.com/perl/chessgame?gid=1251892
no,Thomas Bowdler,Henry Seymour Conway,"London, England",1788,Casual Game,1-0,23,Bishop's Opening,Take My Rooks!,https://www.chessgames.com/perl/chessgame?gid=1282695
no,Andrew Smith,Francois Philidor,"London, England",1790,Simul,0-1,33,Bishop's Opening,Pawns are the Soul of Chess,https://www.chessgames.com/perl/chessgame?gid=1257921
yes,Alexander McDonnell,Louis-Charles Mahé de La Bourdonnais,"London, England",1834,"La Bourdonnais - McDonnell Match 4, Game 16",0-1,37,Sicilian Defense: Löwenthal Variation,Rolling Pawns,https://www.chessgames.com/perl/chessgame?gid=1001165
no,Pierre de Saint-Amant,Howard Staunton,"Paris, France",1843,"Staunton - Saint-Amant Match 1843, Game 21",0-1,66,Queen's Gambit: Tarrach Defense,The Classic Positional Exchange Sac,https://www.chessgames.com/perl/chessgame?gid=1001210
no,F Alexander Hoffmann,Alexander Petrov,"Warsaw, Poland",1844,Warsaw 1844,0-1,20,Giuoco Piano,Petrov's Immortal,https://www.chessgames.com/perl/chessgame?gid=1257910
no,Paul Morphy,Alonzo Morphy,"New Orleans, USA",1850,Casual Game,1-0,18,Two Knights Defense: Fried Liver Attack,Fried Liver,https://www.chessgames.com/perl/chessgame?gid=1238144
yes,Adolf Anderssen,Lionel Kieseritzky,"London, England",1851,Casual Game,1-0,23,"King's Gambit Accepted, Bishop's Gambit",The Immortal Game,https://www.chessgames.com/perl/chessgame?gid=1018910
yes,Adolf Anderssen,Jean Dufresne,"Berlin, Germany",1852,Casual Game,1-0,20,Giuoco Piano: Evan's Gambit,The Evergreen Game,https://www.chessgames.com/perl/chessgame?gid=1018961
no,John William Schulten,Paul Morphy,"New York, USA",1857,New York 1857,0-1,23,King's Gambit: Falkbeer Countergambit,,https://www.chessgames.com/perl/chessgame?gid=1075588
no,Louis Paulsen,Paul Morphy,"New York, USA",1857,"1st American Congress, Round 4",0-1,28,Four Knights Game: Spanish,The d3 Hole,https://www.chessgames.com/perl/chessgame?gid=1242884
no,Paul Morphy,The Duke and the Count,"Paris, France",1858,Casual Game,1-0,17,Philidor Defense,The Opera Game,https://www.chessgames.com/perl/chessgame?gid=1233404
no,Paul Morphy,Adolf Anderssen,"Paris, France",1858,"Morphy Anderssen Match, Round 9",1-0,17,Sicilian Defense: Paulsen Szen Variation,,https://www.chessgames.com/perl/chessgame?gid=1019056
no,Paul Morphy,Adolf Anderssen,"Paris, France",1858,Casual Game,1-0,23,"King's Gambit, Kieseritsky Gambit",,https://www.chessgames.com/perl/chessgame?gid=1019060
no,Henry Bird,Paul Morphy,"London, England",1858,Casual Game,0-1,29,Philidor Defense: Philidor Countergambit,He Came From Across the Ocean,https://www.chessgames.com/perl/chessgame?gid=1027914
no,Paul Morphy,Schrufer,"Paris, France",1859,Paris 1859,1-0,24,Scotch Gambit,Smothered Mate,https://www.chessgames.com/perl/chessgame?gid=1224566
no,Reiner,Wilhelm Steinitz,"Vienna, Austria",1860,Casual Game,0-1,18,Scotch Gambit,Arabian Mate,https://www.chessgames.com/perl/chessgame?gid=1132565
no,Karl Mayet,Philipp Hirschfeld,"Berlin, Germany",1861,Berlin 1861,0-1,15,"King's Gambit, Mayet Gambit",,https://www.chessgames.com/perl/chessgame?gid=1075619
no,John Odin Howard Taylor,NN,"London, England",1862,Casual Game,1-0,13,Bishop's Opening: Boden-Kieseritsky Gambit,King Walk on the Queenside,https://www.chessgames.com/perl/chessgame?gid=1336733
no,Wilhelm Steinitz,Augustus Mongredien,"London, England",1862,5th BCA Congress,1-0,29,Scandinavian Defense,,https://www.chessgames.com/perl/chessgame?gid=1001497
no,Serafino Dubois,Wilhelm Steinitz,"London, England",1862,5th BCA Congress,0-1,37,Giuoco Piano: Giuoco Pianissimo,,https://www.chessgames.com/perl/chessgame?gid=1224575
no,Hans Lindehn,Ladislas Maczuski,"Paris, France",1863,Casual Game,1-0,16,Danish Gambit,Shades of Fischer Fine,https://www.chessgames.com/perl/chessgame?gid=1336769
no,Ladislas Maczuski,Ignatz von Kolisch,"Paris, France",1863,Paris 1863,1-0,15,Scotch Game,Shades of Reti Tartakower,https://www.chessgames.com/perl/chessgame?gid=1080476
no,William Norwood Potter,NN,"London, England",1870,Casual Game,1-0,15,Four Knights Game,,https://www.chessgames.com/perl/chessgame?gid=1401317
no,Wilhelm Steinitz,Louis Paulsen,"Baden-Baden, Germany",1870,"Baden-Baden 1870, Round 13",1-0,36,Vienna Gambit,King Stroll,https://www.chessgames.com/perl/chessgame?gid=1255422
no,Karl Hamppe,Philipp Meitner,"Vienna, Austria",1872,Vienna 1872,1/2-1/2,18,Vienna Gambit,The Immortal Draw,https://www.chessgames.com/perl/chessgame?gid=1250160
no,Victor Knorre,Mikhail Chigorin,"St. Petersburg, Russia",1874,St. Petersburg 1874,0-1,14,Giuoco Piano,,https://www.chessgames.com/perl/chessgame?gid=1337259
no,James Mason,Simon Winawer,"Vienna, Austria",1882,"Vienna 1882, Round 27",1-0,56,Giuoco Piano: Giuoco Pianissimo,Steinitz's Maneuver,https://www.chessgames.com/perl/chessgame?gid=1001754
yes,Johannes Zukertort,Joseph Henry Blackburne,"London, England",1883,"London 1883, Round 6",1-0,33,English Opening: Agincourt Defense,Zukertort's Immortal,https://www.chessgames.com/perl/chessgame?gid=1001854
no,Max Weiss,William Pollock,"New York, USA",1889,"6th American Congress, Round 35",0-1,29,Ruy Lopez: Anderssen Variation,,https://www.chessgames.com/perl/chessgame?gid=1002344
no,Emanuel Lasker,Johann Hermann Bauer,"Amsterdam, Netherlands",1889,"Amsterdam 1889, Round 1 ",1-0,38,Bird Opening,Lasker's Double Bishop Sacrifice,https://www.chessgames.com/perl/chessgame?gid=1026352
no,Rezso Charousek,K Schneider,"Miskolc, Hungary",1891,Casual Game,1-0,21,King's Gambit Accepted,,https://www.chessgames.com/perl/chessgame?gid=1036101
no,Siegbert Tarrasch,Georg Marco,"Dresden, Germany",1892,"7th DSB Congress, Round 7",1-0,18,Ruy Lopez: Stinitz Defense,Tarrasch's Trap,https://www.chessgames.com/perl/chessgame?gid=1283366
no,Mikhail Chigorin,Wilhelm Steinitz,"Havana, Cuba",1892,"Steinitz - Chigorin Rematch, Round 1",1-0,31,Giuoco Piano: Evan's Gambit,,https://www.chessgames.com/perl/chessgame?gid=1264014
yes,Wilhelm Steinitz,Mikhail Chigorin,"Havana, Cuba",1892,"Steinitz - Chigorin Rematch, Round 4",1-0,28,Ruy Lopez: Berlin Defense,Steinitz's Knight Maneuver,https://www.chessgames.com/perl/chessgame?gid=1036342
no,Bernhard Fleissig,Carl Schlechter,"Vienna, Austria",1893,Casual Game,0-1,18,Polish Opening,Schlechter's Immortal,https://www.chessgames.com/perl/chessgame?gid=1120921
no,Siegbert Tarrasch,Carl Schlechter,"Leipzig, Germany",1894,"9th DSB Congress, Round 1",1-0,40,Ruy Lopez: Stinitz Defense,Exploiting a Cramped Opponent,https://www.chessgames.com/perl/chessgame?gid=1120925
no,Siegbert Tarrasch,Theodor von Scheve,"Leipzig, Germany",1894,"9th DSB Congress, Round 5",1-0,30,Queen's Gambit Declined: Harrwitz Attack,Tarrasch's Master Plan,https://www.chessgames.com/perl/chessgame?gid=1258210
no,Rezso Charousek,Jakob Wollner,"Kosice, Slovakia",1894,Casual Game,1-0,18,Danish Gambit,,https://www.chessgames.com/perl/chessgame?gid=1036115
no,Rezso Charousek,Moritz Englander,"Kosice, Slovakia",1894,Casual Game,1-0,33,Alapin Opening,,https://www.chessgames.com/perl/chessgame?gid=1036125
no,Rezso Charousek,Jakob Wollner,"Kosice, Slovakia",1895,Casual Game,1-0,21,King's Gambit Accepted,,https://www.chessgames.com/perl/chessgame?gid=1036141
no,Harry Nelson Pillsbury,Siegbert Tarrasch,"Hastings, England",1895,"Hastings 1895, Round 2",1-0,52,Queen's Gambit Declined: Orthodox Defense,,https://www.chessgames.com/perl/chessgame?gid=1109079
no,Wilhelm Steinitz,Curt von Bardeleben,"Hastings, England",1895,"Hastings 1895, Round 10",1-0,25,Giuoco Piano: Classical Variation,The Battle of Hastings,https://www.chessgames.com/perl/chessgame?gid=1132699
