White,Black,Location,Year,Event,Result,Moves,Opening,Link
Wilhelm Steinitz,Louis Paulsen,"Baden-Baden, GER",1870,"Baden-Baden 1870, Round 13",1-0,36,"Vienna Gambit, with Max Lange Defense: Steinitz Gambit, Paulsen Defense",https://www.chessgames.com/perl/chessgame?gid=1255422
Mikhail Chigorin,Emanuel Lasker,"St. Petersburg, RUE",1895,"St. Petersburg 1895/96 1895, Round 3",0-1,26,"Italian Game: Evans Gambit, Lasker Defense",https://www.chessgames.com/perl/chessgame?gid=1036422
David Janowski,Emil Schallopp,"Nuremberg, GER",1896,"Nuremberg 1896, Round 9",1-0,17,Queen's Gambit Accepted: Gunsberg Defense,https://www.chessgames.com/perl/chessgame?gid=1064502
Moritz Porges,Emanuel Lasker,"Nuremberg, GER",1896,"Nuremberg 1896, Round 1",0-1,33,"Ruy Lopez: Berlin Defense, Pillsbury Variation",https://www.chessgames.com/perl/chessgame?gid=1290698
Harry Nelson Pillsbury,Siegbert Tarrasch,"Vienna, Austria",1898,"Vienna playoff-1pl 1898, Round 2",1-0,41,"Ruy Lopez: Berlin Defense, Rio de Janeiro Variation",https://www.chessgames.com/perl/chessgame?gid=1109163
Rudolf Rezso Charousek,Amos Burn,"Cologne, GER",1898,Casual Game 1898,1-0,27,"King's Gambit Accepted: Kieseritzky Gambit, Paulsen Defense",https://www.chessgames.com/perl/chessgame?gid=1002957
Georg Marco,Geza Maroczy,"Vienna, AUH",1899,"Kolisch mem 9900 1899, Round 2",0-1,78,French Defense: Exchange Variation,https://www.chessgames.com/perl/chessgame?gid=1273731
Harry Nelson Pillsbury,Max Judd,"St. Louis, MO, United States",1901,"Exhibition Match Game, St. Louis 1901, Round 1",1-0,30,"Ruy Lopez: Berlin Defense, Closed Showalter Variation",https://www.chessgames.com/perl/chessgame?gid=2028101
Harry Nelson Pillsbury,Rudolf Swiderski,"Hanover, GER",1902,"13th DSB Kongress (Hanover) 1902, Round 17",1-0,28,Queen's Gambit Declined: Alapin Variation,https://www.chessgames.com/perl/chessgame?gid=1055858
Frank James Marshall,Georg Marco,"Monte Carlo, MNC",1904,"Monte Carlo 1904, Round 4",1-0,76,Scotch Game: Haxo Gambit,https://www.chessgames.com/perl/chessgame?gid=1094594
