White,Black,Location,Year,Event,Result,Moves,Opening,Link
Adolf Anderssen,Lionel Adalbert Bagration Felix Kieseritzky,"London, England",1851,Casual game 1851,1-0,23,"King's Gambit Accepted: Bishop's Gambit, Bryan Countergambit",https://www.chessgames.com/perl/chessgame?gid=1018910
Adolf Anderssen,Jean Dufresne,"Berlin GER (Prussian, EMPIRE)",1852,Casual Game 1852,1-0,20,"Italian Game: Evans Gambit, Dufresne Defense",https://www.chessgames.com/perl/chessgame?gid=1018961
Louis Paulsen,Paul Morphy,"New York, NY, United States",1857,"1st American Chess Congress 1857, Round 4.6",0-1,28,"Four Knights Game: Spanish Variation, Classical Variation",https://www.chessgames.com/perl/chessgame?gid=1242884
Henry Edward Bird,Paul Morphy,"London, England",1858,Casual game 1858,0-1,29,"Philidor Defense: Philidor Countergambit, Zukertort Variation",https://www.chessgames.com/perl/chessgame?gid=1027914
Johannes Zukertort,Joseph Henry Blackburne,"London, England",1883,"London 1883, Round 6.1",1-0,33,English Opening: Agincourt Defense,https://www.chessgames.com/perl/chessgame?gid=1001854
Wilhelm Steinitz,Curt von Bardeleben,"Hastings, England",1895,"Hastings 1895, Round 10",1-0,24,"Italian Game: Giuoco Piano, Greco's Attack",https://www.chessgames.com/perl/chessgame?gid=1132699
Georg Rotlewi,Akiba Rubinstein,"Lodz, Russia",1907,"Lodz 1907, Round 6",0-1,25,Tarrasch Defense: Symmetrical Variation,https://www.chessgames.com/perl/chessgame?gid=1119679
Edwin Ziegler Adams,Carlos Torre Repetto,"New Orleans, LA, United States",1920,New Orleans 1920,1-0,23,Philidor Defense: Exchange Variation,https://www.chessgames.com/perl/chessgame?gid=1143989
Efim Bogoljubov,Alexander Alekhine,"Hastings, England",1922,"Hastings 1922, Round 10",0-1,53,Dutch Defense: Nimzo-Dutch Variation,https://www.chessgames.com/perl/chessgame?gid=1012099
Friedrich Saemisch,Aron Nimzowitsch,"Copenhagen, Denmark",1923,"Copenhagen 1923, Round 6",0-1,25,"Queen's Indian Defense: Classical Variation, Traditional Variation, Nimzowitsch Line",https://www.chessgames.com/perl/chessgame?gid=1102400
Richard Reti,Alexander Alekhine,"Baden-Baden, Germany",1925,"Baden-Baden 1925, Round 8",0-1,40,Hungarian Opening: Reversed Alekhine,https://www.chessgames.com/perl/chessgame?gid=1012326
Rudolf Spielmann,Baldur Hoenlinger,"Vienna, Austria",1929,"Vienna m 1929, Round 8",1-0,24,Caro-Kann Defense: Main Line,https://www.chessgames.com/perl/chessgame?gid=1130925
Rudolf Spielmann,Erich Eliskases,"Linz, Austria",1932,"Spielmann - Eliskases 1932, Round 7",0-1,32,Semi-Slav Defense: Noteboom Variation,https://www.chessgames.com/perl/chessgame?gid=1040762
Glucksberg,Miguel Najdorf,"Warsaw, Poland",1930,Warsaw 1930,0-1,22,Dutch Defense: Queen's Knight Variation,https://www.chessgames.com/perl/chessgame?gid=1100774
Max Euwe,Paul Keres,"Rotterdam, Netherlands",1940,"Euwe - Keres 1939/40 1940, Round 9",0-1,34,"Queen's Indian Defense: Classical Variation, Traditional Variation, Main Line",https://www.chessgames.com/perl/chessgame?gid=1042533
