White,Black,Location,Year,Event,Result,Moves,Opening,Link
Amos Burn,Julius Perlis,"Ostend, Belgium",1906,"Ostend 1906, Round 11",1-0,20,Queen's Gambit Declined: Janowski Variation,https://www.chessgames.com/perl/chessgame?gid=1036020
Frank James Marshall,Amos Burn,"Paris, France",1900,"Paris 1900, Round 14",1-0,18,"Queen's Gambit Declined: Modern Variation, Normal Line",https://www.chessgames.com/perl/chessgame?gid=1000105
Harry Nelson Pillsbury,Frank James Marshall,"Monte Carlo, Monaco",1903,"Monte Carlo 1903, Round 6",0-1,63,Semi-Slav Defense: Stonewall Defense,https://www.chessgames.com/perl/chessgame?gid=1094546
Harry Nelson Pillsbury,Rudolf Swiderski,"Hanover, Germany",1902,"13th DSB Kongress (Hanover) 1902, Round 17",1-0,28,Queen's Gambit Declined: Alapin Variation,https://www.chessgames.com/perl/chessgame?gid=1055858
Carl Hartlaub,Walter Benary,"Munich, Germany",1911,Bavarian Chess Federation - Hauptturnier A 1911,1-0,19,Tarrasch Defense: Symmetrical Variation,https://www.chessgames.com/perl/chessgame?gid=1269055
Frank James Marshall,Georg Marco,"Paris, France",1900,"Paris 1900, Round 15",1-0,23,Queen's Gambit Declined,https://www.chessgames.com/perl/chessgame?gid=1000114
Frank James Marshall,Henry Ernest Atkins,"London ENG / New York, United States",1902,"7th Anglo-American Cable Match 1902, Round 1.3",0-1,36,Queen's Gambit Declined,https://www.chessgames.com/perl/chessgame?gid=1094519
Amos Burn,Rudolf Spielmann,"Ostend, Belgium",1906,"Ostend 1906, Round 15",1-0,30,Tarrasch Defense: Two Knights Variation,https://www.chessgames.com/perl/chessgame?gid=1036018
Alexander Alekhine,Maurer,"Vienna, Austria",1930,"Simul, 40b 1930",1-0,34,"Queen's Gambit Declined: Cambridge Springs Defense, Capablanca Variation",https://www.chessgames.com/perl/chessgame?gid=1012697
Carl Schlechter,Amos Burn,"Ostend, Belgium",1906,"Ostend 1906, Round 16",1-0,27,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Variation",https://www.chessgames.com/perl/chessgame?gid=1036022
Amos Burn,Rudolf Swiderski,"Ostend, Belgium",1906,"Ostend 1906, Round 19",1-0,34,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",https://www.chessgames.com/perl/chessgame?gid=1036017
Anthony Dod,Daniel Yarnton Mills,"Edinburgh, Scotland",1903,Midland CCU - Scottish Association m 1903,1-0,40,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",https://www.chessgames.com/perl/chessgame?gid=1551393
Harry Nelson Pillsbury,Heinrich Wolf,"Monte Carlo, Monaco",1903,"Monte Carlo 1903, Round 1",1-0,33,"Queen's Gambit Declined: Orthodox Defense, Main Line",https://www.chessgames.com/perl/chessgame?gid=1099382
Frank James Marshall,Vladimir Petrov,"Hamburg, Germany",1930,"Hamburg Olympiad 1930, Round 6",1-0,16,Bogo-Indian Defense: Nimzowitsch Variation,https://www.chessgames.com/perl/chessgame?gid=1095182
Frank Parr,George Shorrock Ashcombe Wheatcroft,"London, England",1938,City Of London CC Championship 1938,1-0,30,Neo-Grünfeld Defense: Exchange Variation,https://www.chessgames.com/perl/chessgame?gid=1284171
