White,Black,Location,Year,Event,Result,Moves,Opening,Link
Wilhelm Steinitz,Louis Paulsen,"Baden-Baden, GER",1870,"Baden-Baden 1870, Round 13",1-0,36,"Vienna Gambit, with Max Lange Defense: Steinitz Gambit, Paulsen Defense",https://www.chessgames.com/perl/chessgame?gid=1255422
Mikhail Chigorin,Emanuel Lasker,"St. Petersburg, RUE",1895,"St. Petersburg 1895/96 1895, Round 3",0-1,26,"Italian Game: Evans Gambit, Lasker Defense",https://www.chessgames.com/perl/chessgame?gid=1036422
David Janowski,Emil Schallopp,"Nuremberg, GER",1896,"Nuremberg 1896, Round 9",1-0,17,Queen's Gambit Accepted: Gunsberg Defense,https://www.chessgames.com/perl/chessgame?gid=1064502
Moritz Porges,Emanuel Lasker,"Nuremberg, GER",1896,"Nuremberg 1896, Round 1",0-1,33,"Ruy Lopez: Berlin Defense, Pillsbury Variation",https://www.chessgames.com/perl/chessgame?gid=1290698
Harry Nelson Pillsbury,Siegbert Tarrasch,"Vienna, Austria",1898,"Vienna playoff-1pl 1898, Round 2",1-0,41,"Ruy Lopez: Berlin Defense, Rio de Janeiro Variation",https://www.chessgames.com/perl/chessgame?gid=1109163
Rudolf Rezso Charousek,Amos Burn,"Cologne, GER",1898,Casual Game 1898,1-0,27,"King's Gambit Accepted: Kieseritzky Gambit, Paulsen Defense",https://www.chessgames.com/perl/chessgame?gid=1002957
Georg Marco,Geza Maroczy,"Vienna, AUH",1899,"Kolisch mem 9900 1899, Round 2",0-1,78,French Defense: Exchange Variation,https://www.chessgames.com/perl/chessgame?gid=1273731
Harry Nelson Pillsbury,Max Judd,"St. Louis, MO, United States",1901,"Exhibition Match Game, St. Louis 1901, Round 1",1-0,30,"Ruy Lopez: Berlin Defense, Closed Showalter Variation",https://www.chessgames.com/perl/chessgame?gid=2028101
Harry Nelson Pillsbury,Rudolf Swiderski,"Hanover, GER",1902,"13th DSB Kongress (Hanover) 1902, Round 17",1-0,28,Queen's Gambit Declined: Alapin Variation,https://www.chessgames.com/perl/chessgame?gid=1055858
Frank James Marshall,Georg Marco,"Monte Carlo, MNC",1904,"Monte Carlo 1904, Round 4",1-0,76,Scotch Game: Haxo Gambit,https://www.chessgames.com/perl/chessgame?gid=1094594
Georg Marco,Carl Schlechter,"Monte Carlo, MNC",1904,"Monte Carlo 1904, Round 5",0-1,26,"Ruy Lopez: Exchange Variation, Lutikov Variation",https://www.chessgames.com/perl/chessgame?gid=1121064
Siegbert Tarrasch,Richard Teichmann,"Ostend, Belgium",1905,"Ostend 1905, Round 15",1-0,68,"Ruy Lopez: Closed, Averbakh Variation",https://www.chessgames.com/perl/chessgame?gid=1003488
Frank James Marshall,David Janowski,"Paris, France",1905,"Janowski - Marshall, Match 2 1905, Round 5",0-1,47,"Queen's Gambit Declined: Modern Variation, Knight Defense",https://www.chessgames.com/perl/chessgame?gid=1064647
Paul Saladin Leonhardt,Geza Maroczy,"Karlsbad (Karlovy Vary), AUH",1907,"Karlsbad 1907, Round 9",1-0,37,"Italian Game: Classical Variation, La Bourdonnais Variation",https://www.chessgames.com/perl/chessgame?gid=1003649
Emanuel Lasker,Leo Fleischmann Forgacs,"St. Petersburg, RUE",1909,"St. Petersburg 1909, Round 2",1-0,38,Ruy Lopez: Steinitz Defense,https://www.chessgames.com/perl/chessgame?gid=1380183
Oldrich Duras,Ossip Bernstein,"St. Petersburg, RUE",1909,"St. Petersburg 1909, Round 1",0-1,38,"Ruy Lopez: Berlin Defense, Duras Variation",https://www.chessgames.com/perl/chessgame?gid=1039819
Carl Schlechter,Julius Perlis,"Karlsbad (Karlovy Vary), AUH",1911,"Karlsbad 1911, Round 2",1-0,45,Slav Defense: Modern Line,https://www.chessgames.com/perl/chessgame?gid=1000627
Oldrich Duras,Erich Cohn,"Karlsbad (Karlovy Vary), AUH",1911,"Karlsbad 1911, Round 3",1-0,48,"Ruy Lopez: Morphy Defense, Duras Variation",https://www.chessgames.com/perl/chessgame?gid=1000634
Jacques Mieses,Akiba Rubinstein,"Breslau, GER",1912,"18th DSB Kongress 1912, Round 6",1/2-1/2,28,"Bishop's Opening: Urusov Gambit, Keidansky Gambit",https://www.chessgames.com/perl/chessgame?gid=1480930
Alexander Flamberg,Stefan Levitsky,"St. Petersburg, RUE",1914,"All-Russian Masters 1914, Round 8",1-0,35,Pseudo Queen's Indian Defense,https://www.chessgames.com/perl/chessgame?gid=1466110
Geza Maroczy,Savielly Tartakower,"Vienna, Austria",1920,Vienna 1920,0-1,24,Scotch Game: Tartakower Variation,https://www.chessgames.com/perl/chessgame?gid=1094304
Max Euwe,Gyula Breyer,"Vienna, Austria",1921,"Vienna 1921, Round 10",0-1,30,Nimzowitsch Defense: Breyer Variation,https://www.chessgames.com/perl/chessgame?gid=1033550
Verner Wendel,Aron Nimzowitsch,"Stockholm, Sweden",1921,Match Nimzowitsch - Wendel 1921,0-1,53,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubow Variation, Nimzowitsch Gambit",https://www.chessgames.com/perl/chessgame?gid=1271659
Max Euwe,Akiba Rubinstein,"The Hague, NED",1921,"The Hague 1921, Round 5",0-1,33,"Sicilian Defense: Nimzowitsch Variation, Advance Variation",https://www.chessgames.com/perl/chessgame?gid=1042012
Siegbert Tarrasch,Richard Reti,"Vienna, Austria",1922,"Vienna 1922, Round 10",1-0,40,Caro-Kann Defense: Two Knights Attack,https://www.chessgames.com/perl/chessgame?gid=1148889
Richard Reti,Vladimir Vukovic,"Vienna, Austria",1922,"Vienna 1922, Round 11",1-0,36,"French Defense: McCutcheon Variation, Tartakower Variation",https://www.chessgames.com/perl/chessgame?gid=1148892
Savielly Tartakower,George Alan Thomas,"Karlsbad, CSR",1923,"Karlsbad 1923, Round 9",1-0,54,Richter-Veresov Attack,https://www.chessgames.com/perl/chessgame?gid=1007065
